sigungu_cd,bjdong_cd,bun,ji,total_exclusive_area,unit_count
11140,12500,0065,0009,8673.03,1069
11140,12500,0066,0009,1279.04,180
11140,12700,0053,0001,2131.82,850
11140,13200,0120,0003,50324.82,1906
11140,13200,0306,0000,39979.577,394
11140,13200,0308,0000,19141.72,588
11140,13200,0334,0000,9455.45,289
11140,13300,0022,0005,6598.856,182
11140,13300,0036,0002,10269.07,393
11140,13300,0090,0000,6618.23,184
11140,13400,0192,0030,28778.97,218
11140,13400,0240,0000,20985.8496,661
11140,13600,0011,0002,5161.49,100
11140,13600,0011,0067,6455.11,124
11140,13600,0032,0005,2815.16,135
11140,13600,0035,0000,12420.41,316
11140,13700,0003,0001,3706.74,113
11140,13700,0003,0005,5004.55,161
11140,13700,0043,0001,10638.9598,541
11140,13700,0051,0011,2747.49,231
11140,13900,0062,0016,3951.07,152
11140,14500,0089,0001,6324.87,227
11140,14500,0145,0002,3221.8,106
11140,14500,0166,0000,2466.14,109
11140,14700,0106,0014,3277.48,151
11140,14800,0018,0021,31842.78,4597
11140,14800,0018,0035,9439.59,1686
11140,14800,0018,0185,17735.7,2596
11140,14800,0021,0031,16230.81,2269
11140,14800,0023,0000,4449.94,134
11140,14800,0032,0000,4647.83,255
11140,14900,0105,0000,11681.44,1639
11140,15000,0323,0000,78038.9916,103
11140,15100,0020,0001,6078.51,141
11140,15100,0077,0002,7314.22,257
11140,15100,0099,0000,7003.058,186
11140,15100,0272,0017,3793.6789,102
11140,15200,0019,0001,17826.58,789
11140,15200,0019,0014,5596.41,281
11140,15300,0000,0000,22747.81,2054
11140,15400,0090,0005,7286.11,128
11140,15400,0090,0024,2878.57,150
11140,15400,0127,0001,8310.54,512
11140,15400,0145,0001,4753.34,278
11140,15400,0148,0016,3880.88,200
11140,15400,0206,0003,4323.8,108
11140,15500,0259,0001,5002.99,195
11140,15600,0277,0000,22495.1896,471
11140,15600,0280,0000,33152.9035,707
11140,15600,0281,0000,17613.6641,416
11140,15700,0207,0001,12462.64,399
11140,15700,0207,0002,21439.96,640
11140,15700,0302,0000,12792.2035,369
11140,15800,0049,0000,11802.08,327
11140,15900,0042,0000,11602.92,101
11140,16000,0158,0000,7239.76,345
11140,16100,0007,0002,5279.1,206
11140,16100,0078,0000,6102.78,241
11140,16200,0140,0023,2644.08,134
11140,16200,0160,0005,3746.2,179
11140,16200,0193,0002,16372.13,2865
11140,16200,0198,0003,5460.9,1075
11140,16200,0199,0001,4198.65,775
11140,16200,0199,0017,3613.7862,460
11140,16200,0200,0005,14160.698,1878
11140,16200,0204,0001,2960.77,186
11140,16200,0204,0048,5064.01,363
11140,16200,0213,0008,5361.365,569
11140,16200,0213,0051,1470.39,386
11140,16200,0213,0067,4845.18,303
11140,16200,0217,0001,9260.91,646
11140,16200,0217,0010,3392.06,139
11140,16200,0217,0091,7802.65,1109
11140,16200,0217,0095,4276.8,109
11140,16200,0217,0096,6217.07,149
11140,16200,0251,0001,2396.0,223
11140,16200,0366,0126,16490.246,152
11140,16200,0468,0000,4371.87,133
11140,16200,0772,0000,3671.35,603
11140,16200,0773,0000,14892.52,2755
11140,16200,0774,0000,2203.64,132
11140,16200,0775,0000,7429.78,534
11140,16200,0776,0000,2851.039,298
11140,16200,0777,0000,8879.95,859
11140,16200,0840,0000,93052.5,1038
11140,16200,0842,0000,155540.55,2384
11140,16200,0843,0000,87702.95,1032
11140,16200,0843,0001,14137.2,440
11140,16200,0844,0000,355171.91,5435
11140,16200,0846,0000,10706.0,145
11140,16200,0850,0000,46559.36,472
11140,16200,0851,0000,64715.66,812
11140,16200,0851,0001,6043.94,161
11140,16200,0852,0000,68014.33,761
11140,16200,0852,0001,5656.02,158
11140,16200,0855,0000,26348.2911,752
11140,16200,0856,0000,11874.8793,176
11140,16200,0857,0000,4513.89,192
11140,16300,0003,0001,4133.98,219
11140,16300,0003,0004,12821.52,394
11140,16300,0008,0000,4009.69,150
11140,16300,0013,0001,69118.6633,780
11140,16300,0086,0000,25634.57,804
11140,16300,0091,0000,4967.79,173
11140,16300,0119,0000,5553.02,297
11140,16500,0787,0000,6133.73,325
11140,16500,0808,0000,3838.44,154
11140,16500,0819,0000,6181.82,302
11140,16500,0882,0000,14043.03,161
11140,16500,1153,0000,5628.65,132
11140,16500,1173,0000,5185.6056,235
11140,16500,1229,0000,23561.9785,573
11140,16500,1257,0000,9304.028,343
11140,16500,2484,0000,3330.39,120
11140,16500,2523,0000,37837.817,390
11140,16500,2545,0000,182958.15,2347
11140,16600,0075,0095,11068.58,142
11140,16700,0015,0006,15111.34,196
11140,16700,0037,0000,6464.0189,224
11140,16800,0151,0000,38665.07,589
11140,16800,0215,0000,17163.49,288
11140,16800,0217,0000,35065.9366,560
11140,16900,0025,0010,16732.32,336
11140,16900,0032,0002,15746.58,108
11140,17100,0149,0000,4715.54,102
11140,17100,0200,0000,67369.97,792
11140,17100,0201,0000,11214.45,355
11140,17100,0355,0000,38182.035,491
11140,17100,0363,0000,10491.41,582
11140,17100,0500,0000,15370.9,181
11140,17100,1154,0000,6029.2,288
11140,17300,0062,0007,13570.94,244
11140,17300,0231,0000,15593.4567,188
11140,17400,0011,0001,15135.82,261
11140,17400,0273,0000,96408.7718,1384
11140,17400,0288,0000,17165.8426,213
11170,10100,0339,0004,7157.35,142
11170,10100,0423,0001,15025.01,228
11170,10100,0458,0000,15415.06,101
11170,10400,0098,0006,11948.8332,289
11170,10400,0101,0049,14134.62,348
11170,10700,0045,0000,83419.2,458
11170,10700,0056,0000,42726.02,627
11170,10800,0100,0001,6148.1886,269
11170,10800,0219,0017,6347.96,210
11170,11100,0080,0006,4434.66,185
11170,11200,0028,0007,2948.183,106
11170,11200,0041,0000,81678.025,626
11170,11200,0046,0005,3904.31,105
11170,11200,0112,0004,7587.65,287
11170,11200,0133,0003,26037.43,278
11170,11200,0134,0000,27481.636,773
11170,11300,0003,0012,3586.58,103
11170,11400,0102,0000,14445.87,176
11170,11500,0193,0000,93435.61,1112
11170,11500,0194,0000,12038.57,364
11170,11500,0202,0000,5840.2,136
11170,11500,0204,0000,17510.1,296
11170,11600,0181,0000,34487.79,175
11170,11700,0051,0037,6610.84,161
11170,11700,0130,0001,2503.51,109
11170,11700,0277,0013,2419.2338,124
11170,11800,0118,0016,46290.05,554
11170,11800,0178,0000,21879.68,310
11170,11900,0005,0145,11112.93,131
11170,11900,0274,0000,24238.53,307
11170,11900,0286,0000,15142.97,206
11170,11900,0287,0000,33863.5757,498
11170,11900,0288,0000,24766.4256,394
11170,12000,0023,0000,123754.5,1458
11170,12000,0025,0000,17493.84,534
11170,12100,0090,0000,15753.38,195
11170,12200,0003,0003,27458.91,314
11170,12200,0007,0006,7471.06,115
11170,12200,0008,0005,3729.32,133
11170,12200,0011,0010,28315.77,452
11170,12200,0011,0014,12022.31,148
11170,12200,0011,0029,9775.84,158
11170,12200,0017,0001,7475.97,114
11170,12200,0024,0004,4398.33,265
11170,12200,0024,0006,35966.04,404
11170,12200,0024,0008,3757.69,188
11170,12200,0024,0021,25948.14,296
11170,12200,0040,0019,9403.32,158
11170,12200,0040,0031,16064.29,185
11170,12300,0048,0000,71815.37,881
11170,12400,0050,0001,81017.89,1363
11170,12400,0064,0000,39058.194,380
11170,12400,0231,0024,5633.39,101
11170,12500,0002,0008,47721.89,998
11170,12500,0002,0011,11096.46,322
11170,12500,0002,0036,9296.54,217
11170,12500,0002,0037,7644.72,570
11170,12500,0002,0185,12074.3,360
11170,12500,0014,0018,5615.27,110
11170,12500,0015,0014,24601.646,1443
11170,12500,0015,0037,8142.91,330
11170,12500,0312,0004,6548.36,208
11170,12500,0314,0001,8516.83,181
11170,12500,0417,0000,13908.38,146
11170,12500,0419,0000,39518.12,387
11170,12500,0420,0000,63587.8236,989
11170,12500,0422,0000,91414.43,1194
11170,12500,0426,0000,47523.4186,1131
11170,12500,0429,0000,22422.1595,303
11170,12700,0024,0000,93136.42,747
11170,12700,0024,0001,44962.61,333
11170,12800,0016,0020,12537.57,496
11170,12800,0016,0049,18130.55,215
11170,12800,0016,0058,9165.56,186
11170,12800,0016,0085,18351.22,289
11170,12800,0016,0091,4234.91,117
11170,12800,0040,0969,90565.1,141
11170,12800,0063,0387,36326.02,278
11170,12800,0063,0389,69872.73,510
11170,12800,0065,0155,4234.22,116
11170,12800,0065,0230,30608.23,386
11170,12800,0091,0000,12160.8,144
11170,12800,0098,0000,166155.8656,1666
11170,12800,0100,0000,7907.624,223
11170,12900,0193,0003,9365.17,146
11170,12900,0300,0010,28092.84,168
11170,12900,0300,0011,25620.0,250
11170,12900,0300,0027,12064.81,209
11170,12900,0300,0301,32653.86,319
11170,12900,0301,0010,15710.14,102
11170,12900,0301,0160,45633.66,340
11170,12900,0301,0162,41675.71,600
11170,12900,0301,0170,35728.41,219
11170,12900,0302,0064,14121.55,107
11170,12900,0395,0000,54540.18,640
11170,12900,0399,0001,18693.36,243
11170,12900,0400,0000,38782.74,516
11170,12900,0402,0000,86762.05,1001
11170,12900,0404,0000,23579.03,297
11170,12900,0405,0000,37903.1,468
11170,12900,0406,0000,17436.24,213
11170,12900,0407,0000,36054.7,468
11170,12900,0409,0000,40251.724,434
11170,12900,0410,0000,11554.08,158
11170,12900,0411,0000,38075.95,499
11170,12900,0412,0000,63788.4,787
11170,12900,0415,0000,79214.06,834
11170,12900,0418,0000,31549.17,312
11170,12900,0422,0000,20247.0,340
11170,12900,0426,0000,39044.72,244
11170,12900,0430,0000,107575.09,656
11170,12900,0434,0000,8752.141,103
11170,12900,0436,0000,57084.84,460
11170,13000,0022,0002,86105.6,592
11170,13000,0728,0000,10999.95,130
11170,13000,0729,0000,36204.32,408
11170,13100,0001,0349,7437.6,120
11170,13100,0029,0004,6625.72,127
11170,13100,0072,0001,24144.61,415
11170,13100,0076,0006,8143.2699,157
11170,13100,0258,0000,18088.53,108
11170,13100,0263,0010,9158.58,105
11170,13100,0522,0001,11434.88,149
11170,13100,0726,0074,16286.04,137
11170,13100,0737,0028,10302.2,115
11170,13100,0737,0037,8053.86,101
11170,13100,0802,0000,9176.76,119
11170,13100,0805,0000,31428.43,141
11170,13100,0807,0000,31933.876,283
11170,13100,0810,0000,114052.064,1073
11170,13100,0828,0000,18897.3116,326
11170,13100,0829,0000,83851.8628,388
11170,13100,0830,0000,14534.4216,166
11170,13200,0315,0000,17589.31,215
11170,13200,0316,0000,47362.82,560
11170,13300,0241,0021,200757.02,1326
11170,13300,0293,0000,11238.58,133
11170,13300,0296,0000,19458.65,172
11170,13400,0001,0007,5478.05,161
11170,13600,0151,0000,18456.44,242
11170,13600,0448,0000,20054.55,237
11200,10100,0750,0000,8417.19,273
11200,10100,0811,0000,107238.44,1410
11200,10200,0258,0000,97381.2,1410
11200,10200,0286,0002,7092.313,105
